prompt_id,category,complexity,prompt,response,prompt_word_count,response_word_count,is_compliant,is_estimated_usage,ttft_ms,e2e_latency_ms,server_latency_ms,client_overhead_ms,otps,has_valid_metrics,max_inter_token_latency_ms,stall_count,input_tokens,output_tokens,hit_token_limit,stop_reason,strategy,latency_percentiles,word_count_delta,first_attempt_compliant,cache_creation_input_tokens,cache_read_input_tokens,total_cost_input_tokens,total_cost_output_tokens,num_attempts,has_token_mismatch,error,error_type
44067482,writing,Low,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions. Rewrite your previous response. Start every sentence with the letter A.","A travel blog about Hawaii highlights cultural experiences, attractions, and must-see sites.",29.0,12.0,True,False,1412.1443999465555,1421.778499847278,366.0,1055.778499847278,1764.5654679919912,True,0.0654000323265791,0.0,106.0,18.0,False,end_turn,A_prompt_only,"{'mean': 0.05465000867843628, 'min': 0.049800146371126175, 'max': 0.0654000323265791, 'count': 6, 'p50': 0.05229981616139412, 'p90': 0.060850055888295174, 'p95': 0.06312504410743713, 'p99': 0.0649450346827507}",2.0,,0.0,0.0,106.0,18.0,1.0,True,,
46091167,stem,Low,"In the field of quantum physics, what is superposition, and how does it relate to the phenomenon of quantum entanglement? What assumptions have you made in your response? Are they valid?",Superposition allows particles to exist in multiple states; entanglement links them.,31.0,11.0,True,False,2232.302100164816,2240.3824001085013,318.0,1922.3824001085013,1732.608949862128,True,0.06800005212426186,0.0,105.0,15.0,False,end_turn,A_prompt_only,"{'mean': 0.055785690035138814, 'min': 0.050099799409508705, 'max': 0.06800005212426186, 'count': 7, 'p50': 0.05179992876946926, 'p90': 0.06553996354341507, 'p95': 0.06677000783383846, 'p99': 0.06775404326617718}",1.0,,0.0,0.0,105.0,15.0,1.0,True,,
57239570,stem,Low,What is the central dogma of molecular biology? What processes are involved? Who named this? Identify and fix one incorrect fact in your previous response.,Central dogma involves transcription and translation; Francis Crick named it.,25.0,10.0,True,False,1830.8136998675764,1837.3274998739362,300.0,1537.3274998739362,1995.7628400177034,True,0.06550014950335026,0.0,98.0,14.0,False,end_turn,A_prompt_only,"{'mean': 0.05290002029921327, 'min': 0.04860013723373413, 'max': 0.06550014950335026, 'count': 7, 'p50': 0.05070003680884838, 'p90': 0.05926010198891163, 'p95': 0.062380125746130936, 'p99': 0.0648761447519064}",0.0,,0.0,0.0,98.0,14.0,1.0,True,,
65106343,stem,Low,"Please explain the differences between exothermic and endothermic reactions, and include the criteria you used to distinguish between them. Additionally, please provide a real-world example to illustrate your explanation. Can a process involve both reactions? List one.",Exothermic releases heat; endothermic absorbs heat; combustion is both.,37.0,9.0,True,False,1448.702699970454,1457.6530000194907,372.0,1085.6530000194907,1564.1933704230087,True,0.06019999273121357,0.0,116.0,15.0,False,end_turn,A_prompt_only,"{'mean': 0.05287141539156437, 'min': 0.04770001396536827, 'max': 0.06019999273121357, 'count': 7, 'p50': 0.04989979788661003, 'p90': 0.06019999273121357, 'p95': 0.06019999273121357, 'p99': 0.06019999273121357}",-1.0,,0.0,0.0,116.0,15.0,1.0,True,,
25568812,stem,Low,How have the Alps and Rhine River influenced settlement and agriculture in Western Europe? List three impacts. How could you design a concrete but simple experiment to validate the first impact?,"Alps, Rhine River influence settlement, agriculture; experiment compare crop yields.",31.0,10.0,True,False,2597.8363000322133,2676.6175001394004,345.0,2331.6175001394004,177.70737156773538,True,67.37280008383095,0.0,103.0,15.0,False,end_turn,A_prompt_only,"{'mean': 8.71828751405701, 'min': 0.05510007031261921, 'max': 67.37280008383095, 'count': 8, 'p50': 0.07030006963759661, 'p90': 20.929619949311007, 'p95': 44.15121001657095, 'p99': 62.72848207037894}",0.0,,0.0,0.0,103.0,15.0,1.0,True,,
47292991,humanities,Low,"Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explain how fiscal and monetary policies affect those indicators. Now, explain them again like I'm five.","GDP, inflation, unemployment; policies change them; simple rules adjust economy.",31.0,10.0,True,False,1402.9675999190658,1409.7744999453425,292.0,1117.7744999453425,2203.6462915711163,True,0.06449990905821323,0.0,108.0,16.0,False,end_turn,A_prompt_only,"{'mean': 0.05106666746238867, 'min': 0.04620011895895004, 'max': 0.06449990905821323, 'count': 9, 'p50': 0.04900014027953148, 'p90': 0.05753994919359684, 'p95': 0.06101992912590504, 'p99': 0.0638039130717516}",0.0,,0.0,0.0,108.0,16.0,1.0,True,,
68280443,humanities,Low,How do the stages of life shape our understanding of time and mortality? Write an allegorical poem that illustrates the above.,"Life's stages shape time, mortality's shadow, poetic allegory.",21.0,8.0,True,False,2703.032299876213,2712.7227999735624,368.0,2344.7227999735624,1547.907729148371,True,0.06160000339150429,0.0,92.0,16.0,False,end_turn,A_prompt_only,"{'mean': 0.050633343764477305, 'min': 0.04259985871613026, 'max': 0.06160000339150429, 'count': 9, 'p50': 0.04930002614855766, 'p90': 0.056400056928396225, 'p95': 0.059000030159950256, 'p99': 0.06108000874519348}",-2.0,,0.0,0.0,92.0,16.0,1.0,True,,
60780117,humanities,Low,Discuss antitrust laws and their impact on market competition. Compare the antitrust laws in US and China along with some case studies. Pick one case study and explain it in detail.,"""US vs. China antitrust laws impact market competition; Microsoft case study.""",31.0,11.0,True,False,1841.945700114593,1850.6120999809355,349.0,1501.6120999809355,1730.8225135393395,True,0.059399986639618874,0.0,103.0,16.0,False,end_turn,A_prompt_only,"{'mean': 0.050957148362483294, 'min': 0.04710000939667225, 'max': 0.059399986639618874, 'count': 7, 'p50': 0.05039991810917854, 'p90': 0.05586002953350544, 'p95': 0.05763000808656215, 'p99': 0.05904599092900753}",1.0,,0.0,0.0,103.0,16.0,1.0,True,,
14125357,humanities,Low,Share ideas for adapting art masterpieces into interactive experiences for children. List 5 specific artworks and associated ideas. Write a concrete plan for your second example. Include budget estimates.,"Monet's ""Water Lilies"" interactive pond; budget $5,000 for tech.",29.0,9.0,True,False,2650.3697000443935,2772.207699948922,440.0,2332.207699948922,172.3600191767389,True,118.60809987410903,0.0,103.0,22.0,False,end_turn,A_prompt_only,"{'mean': 10.829281823878938, 'min': 0.04279986023902893, 'max': 118.60809987410903, 'count': 11, 'p50': 0.05100015550851822, 'p90': 0.06730016320943832, 'p95': 59.337700018659234, 'p99': 106.75401990301911}",-1.0,,0.0,0.0,103.0,22.0,1.0,True,,
6404588,humanities,Low,Explain what's base rate fallacy and list five specific examples of how politicians use it for campaigns. Provide a detailed plan for an election campaign using the first example.,Base rate fallacy used by politicians; five examples; detailed plan for campaign.,29.0,12.0,True,False,1878.8613001815975,2345.8444999996573,350.0,1995.8444999996573,32.12106989254456,True,459.599900059402,1.0,102.0,16.0,False,end_turn,A_prompt_only,"{'mean': 57.496162480674684, 'min': 0.04860013723373413, 'max': 459.599900059402, 'count': 8, 'p50': 0.05104998126626015, 'p90': 137.92616988066575, 'p95': 298.7630349700337, 'p99': 427.43252704152826}",2.0,,0.0,0.0,102.0,16.0,1.0,True,,
