prompt_id,category,complexity,prompt,response,prompt_word_count,response_word_count,is_compliant,is_estimated_usage,ttft_ms,e2e_latency_ms,server_latency_ms,client_overhead_ms,otps,has_valid_metrics,max_inter_token_latency_ms,stall_count,input_tokens,output_tokens,hit_token_limit,stop_reason,strategy,latency_percentiles,word_count_delta,first_attempt_compliant,cache_creation_input_tokens,cache_read_input_tokens,total_cost_input_tokens,total_cost_output_tokens,num_attempts
44067482,writing,Low,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions. Rewrite your previous response. Start every sentence with the letter A.","A travel blog about Hawaii highlights cultural experiences, attractions, and must-see sites.",29,12,True,False,1812.1611999813467,1816.0377000458539,323.0,1493.0377000458539,4385.399127334065,True,0.05779997445642948,0,106,18,False,end_turn,A_prompt_only,"{'p50': 0.05110003985464573, 'p90': 0.05659996531903744, 'p95': 0.05719996988773346, 'p99': 0.05767997354269028, 'mean': 0.051083353658517204, 'min': 0.04120008088648319, 'max': 0.05779997445642948, 'count': 6}",4,,0,0,106,18,1
46091167,stem,Low,"In the field of quantum physics, what is superposition, and how does it relate to the phenomenon of quantum entanglement? What assumptions have you made in your response? Are they valid?",Superposition allows particles to exist in multiple states; entanglement links them.,31,11,True,False,995.5575000494719,1449.2908001411706,306.0,1143.2908001411706,30.85513008891043,True,448.6066000536084,1,105,15,False,end_turn,A_prompt_only,"{'p50': 0.05479995161294937, 'p90': 179.50348006561416, 'p95': 314.05504005961086, 'p99': 421.69628805480875, 'mean': 64.13995714059898, 'min': 0.04939991049468517, 'max': 448.6066000536084, 'count': 7}",3,,0,0,105,15,1
57239570,stem,Low,What is the central dogma of molecular biology? What processes are involved? Who named this? Identify and fix one incorrect fact in your previous response.,Central dogma involves transcription and translation; Francis Crick named it.,25,10,True,False,1013.8410001527518,1477.4253000505269,290.0,1187.4253000505269,28.04236468505648,True,459.8678001202643,1,98,14,False,end_turn,A_prompt_only,"{'p50': 0.057399971410632133, 'p90': 184.08841993659752, 'p95': 321.9781100284305, 'p99': 432.28986210189737, 'mean': 65.76869999324637, 'min': 0.04900014027953148, 'max': 459.8678001202643, 'count': 7}",2,,0,0,98,14,1
65106343,stem,Low,"Please explain the differences between exothermic and endothermic reactions, and include the criteria you used to distinguish between them. Additionally, please provide a real-world example to illustrate your explanation. Can a process involve both reactions? List one.",Exothermic releases heat; endothermic absorbs heat; real example is combustion.,37,10,True,False,1069.0225998405367,1147.5521000102162,347.0,800.5521000102162,191.01102092321156,True,54.73640002310276,0,116,16,False,end_turn,A_prompt_only,"{'p50': 0.0657000346109271, 'p90': 16.872210102155794, 'p95': 35.804305062629254, 'p99': 50.94998103100805, 'mean': 6.978212506510317, 'min': 0.05159992724657059, 'max': 54.73640002310276, 'count': 8}",2,,0,0,116,16,1
25568812,stem,Low,How have the Alps and Rhine River influenced settlement and agriculture in Western Europe? List three impacts. How could you design a concrete but simple experiment to validate the first impact?,"Alps, Rhine River shape settlements, agriculture; experiment: compare soil fertility.",31,10,True,False,1807.0276000071317,1810.6840001419187,399.0,1411.6840001419187,4102.395647918867,True,0.06730016320943832,0,103,16,False,end_turn,A_prompt_only,"{'p50': 0.0483999028801918, 'p90': 0.05719996988773346, 'p95': 0.06225006654858589, 'p99': 0.06629014387726784, 'mean': 0.051018189300190316, 'min': 0.04630000330507755, 'max': 0.06730016320943832, 'count': 11}",2,,0,0,103,16,1
47292991,humanities,Low,"Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explain how fiscal and monetary policies affect those indicators. Now, explain them again like I'm five.","GDP, inflation, unemployment; policies change them; simple rules for big effects.",31,11,True,False,1407.119199866429,1411.84620000422,359.0,1052.84620000422,3384.8105634870826,True,0.06530014798045158,0,108,17,False,end_turn,A_prompt_only,"{'p50': 0.04879990592598915, 'p90': 0.06154002621769905, 'p95': 0.06342008709907532, 'p99': 0.06492413580417633, 'mean': 0.05215556464261479, 'min': 0.0475000124424696, 'max': 0.06530014798045158, 'count': 9}",3,,0,0,108,17,1
68280443,humanities,Low,How do the stages of life shape our understanding of time and mortality? Write an allegorical poem that illustrates the above.,"Life's stages shape time, mortality's shadow, poetic allegory.",21,8,True,False,1397.9233999270946,1402.2282999940217,377.0,1025.2282999940217,3484.401441798695,True,0.06180000491440296,0,92,16,False,end_turn,A_prompt_only,"{'p50': 0.04879990592598915, 'p90': 0.05484004504978657, 'p95': 0.058320024982094765, 'p99': 0.06110400892794132, 'mean': 0.05014445115294722, 'min': 0.04620011895895004, 'max': 0.06180000491440296, 'count': 9}",0,,0,0,92,16,1
60780117,humanities,Low,Discuss antitrust laws and their impact on market competition. Compare the antitrust laws in US and China along with some case studies. Pick one case study and explain it in detail.,"""US vs. China antitrust laws: Microsoft vs. China case study.""",31,10,True,False,1713.339600013569,1832.345699891448,292.0,1540.345699891448,126.04395922051569,True,51.74340005032718,0,103,16,False,end_turn,A_prompt_only,"{'p50': 0.1906000543385744, 'p90': 21.08909999951722, 'p95': 36.41625002492216, 'p99': 48.677970045246155, 'mean': 7.669871406895774, 'min': 0.16009993851184845, 'max': 51.74340005032718, 'count': 7}",2,,0,0,103,16,1
14125357,humanities,Low,Share ideas for adapting art masterpieces into interactive experiences for children. List 5 specific artworks and associated ideas. Write a concrete plan for your second example. Include budget estimates.,"Monet's ""Water Lilies"" interactive pond; budget $5,000 for tech.",29,9,True,False,1900.7434998638928,2370.343100046739,374.0,1996.343100046739,44.71894778407671,True,464.8958998732269,1,103,22,False,end_turn,A_prompt_only,"{'p50': 0.05150004290044308, 'p90': 0.06990018300712109, 'p95': 232.482900028117, 'p99': 418.4132999042051, 'mean': 42.31214546598494, 'min': 0.047900015488266945, 'max': 464.8958998732269, 'count': 11}",1,,0,0,103,22,1
6404588,humanities,Low,Explain what's base rate fallacy and list five specific examples of how politicians use it for campaigns. Provide a detailed plan for an election campaign using the first example.,Base rate fallacy used by politicians; five examples; campaign plan first.,29,11,True,False,1780.743199866265,1834.4129999168217,328.0,1506.4129999168217,260.85433496700335,True,25.70009999908507,0,102,15,False,end_turn,A_prompt_only,"{'p50': 0.0662999227643013, 'p90': 11.004120064899334, 'p95': 18.35211003199218, 'p99': 24.230502005666484, 'mean': 3.891128581017256, 'min': 0.05230004899203777, 'max': 25.70009999908507, 'count': 7}",3,,0,0,102,15,1
97392077,humanities,Low,Which methods did Socrates employ to challenge the prevailing thoughts of his time? Let's bring Socrates to modern world. Generate a conversation between Socrates and Bill Gates to debate on generative AI for education.,Socrates debates Bill Gates on generative AI's role in modern education.,34,11,True,False,1459.1123000718653,1462.7612999174744,304.0,1158.7612999174744,3836.6677424901904,True,0.06499979645013809,0,108,15,False,end_turn,A_prompt_only,"{'p50': 0.05039991810917854, 'p90': 0.06029999349266291, 'p95': 0.0626498949714005, 'p99': 0.06452981615439057, 'mean': 0.05301666290809711, 'min': 0.04770001396536827, 'max': 0.06499979645013809, 'count': 6}",3,,0,0,108,15,1
36620167,humanities,Low,What are some business etiquette norms when doing business in Japan? Create a video script for training new employees of a car wash business in Japan. Highlight the above etiquette norms.,"Business etiquette in Japan: respect, formality, bowing, and gift-giving.",31,9,True,False,1749.5062998495996,1833.7120998185128,332.0,1501.7120998185128,190.01066441868403,True,58.87469998560846,0,103,17,False,end_turn,A_prompt_only,"{'p50': 0.1550000160932541, 'p90': 17.801079992204894, 'p95': 38.33788998890665, 'p99': 54.76733798626809, 'mean': 7.499675004510209, 'min': 0.14059990644454956, 'max': 58.87469998560846, 'count': 8}",1,,0,0,103,17,1
