prompt_id,category,complexity,prompt,response,prompt_word_count,response_word_count,is_compliant,is_estimated_usage,ttft_ms,e2e_latency_ms,server_latency_ms,client_overhead_ms,otps,has_valid_metrics,max_inter_token_latency_ms,stall_count,input_tokens,output_tokens,hit_token_limit,stop_reason,strategy,latency_percentiles,word_count_delta,first_attempt_compliant,cache_creation_input_tokens,cache_read_input_tokens,total_cost_input_tokens,total_cost_output_tokens,num_attempts
44067482,writing,Low,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions. Rewrite your previous response. Start every sentence with the letter A.","A travel blog about Hawaii highlights cultural experiences, attractions, adventures, activities, and authentic local insights.",29,15,False,False,1386.6963000036776,1469.5526999421418,351.0,1118.5526999421418,241.38147463386787,True,63.48669994622469,0,106,21,False,end_turn,A_prompt_only,"{'p50': 0.1813000999391079, 'p90': 23.07773996144534, 'p95': 43.282219953834996, 'p99': 59.445803947746754, 'mean': 8.672100000290406, 'min': 0.1403999049216509, 'max': 63.48669994622469, 'count': 9}",7,,0,0,106,21,1
46091167,stem,Low,"In the field of quantum physics, what is superposition, and how does it relate to the phenomenon of quantum entanglement? What assumptions have you made in your response? Are they valid?",Superposition allows particles to exist in multiple states; entanglement links them.,31,11,True,False,1635.3996999096125,1749.7000999283046,356.0,1393.7000999283046,122.48426075246037,True,70.91920007951558,0,105,15,False,end_turn,A_prompt_only,"{'p50': 0.17039990052580833, 'p90': 28.574500000104333, 'p95': 49.74685003980989, 'p99': 66.68473007157442, 'mean': 10.279628581234387, 'min': 0.0684000551700592, 'max': 70.91920007951558, 'count': 7}",3,,0,0,105,15,1
57239570,stem,Low,What is the central dogma of molecular biology? What processes are involved? Who named this? Identify and fix one incorrect fact in your previous response.,Central dogma describes DNA to RNA to protein; Francis Crick named it.,25,12,True,False,1385.4221999645233,1452.9597000218928,325.0,1127.9597000218928,222.0988337924606,True,62.04870017245412,0,98,16,False,end_turn,A_prompt_only,"{'p50': 0.15199999324977398, 'p90': 24.930180003866575, 'p95': 43.48944008816029, 'p99': 58.336848155595334, 'mean': 8.995642852304238, 'min': 0.12019998393952847, 'max': 62.04870017245412, 'count': 7}",4,,0,0,98,16,1
65106343,stem,Low,"Please explain the differences between exothermic and endothermic reactions, and include the criteria you used to distinguish between them. Additionally, please provide a real-world example to illustrate your explanation. Can a process involve both reactions? List one.",Exothermic releases heat; endothermic absorbs heat; combustion is both.,37,9,True,False,2752.695000031963,3200.2574999351054,1710.0,1490.2574999351054,31.28054741634913,True,444.89790010266006,1,116,15,False,end_turn,A_prompt_only,"{'p50': 0.05760020576417446, 'p90': 178.0658999457957, 'p95': 311.48190002422746, 'p99': 418.2147000869734, 'mean': 63.621657135497244, 'min': 0.04239985719323158, 'max': 444.89790010266006, 'count': 7}",1,,0,0,116,15,1
25568812,stem,Low,How have the Alps and Rhine River influenced settlement and agriculture in Western Europe? List three impacts. How could you design a concrete but simple experiment to validate the first impact?,"Alps, Rhine River influence settlement, agriculture; experiment measure soil fertility.",31,10,True,False,1095.5840998794883,1212.968099862337,393.0,819.9680998623371,119.26668031457073,True,82.75750000029802,0,103,15,False,end_turn,A_prompt_only,"{'p50': 0.15590013936161995, 'p90': 17.059499956667437, 'p95': 49.908499978482695, 'p99': 76.18769999593496, 'mean': 9.376466662312547, 'min': 0.0771000050008297, 'max': 82.75750000029802, 'count': 9}",2,,0,0,103,15,1
47292991,humanities,Low,"Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explain how fiscal and monetary policies affect those indicators. Now, explain them again like I'm five.","GDP, inflation, unemployment; policies change them; simple rules for big effects.",31,11,True,False,1059.5200001262128,1179.3563000392169,353.0,826.3563000392169,133.51547078485657,True,68.99880012497306,0,108,17,False,end_turn,A_prompt_only,"{'p50': 0.07049995474517345, 'p90': 14.367599878460181, 'p95': 41.683200001716585, 'p99': 63.53568010032176, 'mean': 7.857577771776253, 'min': 0.057499855756759644, 'max': 68.99880012497306, 'count': 9}",3,,0,0,108,17,1
68280443,humanities,Low,How do the stages of life shape our understanding of time and mortality? Write an allegorical poem that illustrates the above.,"Life's stages shape time, mortality, and our understanding through allegory.",21,10,True,False,1010.0077001843601,1124.3750001303852,303.0,821.3750001303852,131.15637080773232,True,69.8376998770982,0,92,16,False,end_turn,A_prompt_only,"{'p50': 0.12720003724098206, 'p90': 21.861310047097493, 'p95': 45.84950496209782, 'p99': 65.04006089409812, 'mean': 9.026312502101064, 'min': 0.05419994704425335, 'max': 69.8376998770982, 'count': 8}",2,,0,0,92,16,1
60780117,humanities,Low,Discuss antitrust laws and their impact on market competition. Compare the antitrust laws in US and China along with some case studies. Pick one case study and explain it in detail.,"""US vs. China antitrust laws: Microsoft vs. China case study.""",31,10,True,False,1433.2902000751346,1435.8540999237448,358.0,1077.8540999237448,5850.462531963248,True,0.06659980863332748,0,103,16,False,end_turn,A_prompt_only,"{'p50': 0.05000014789402485, 'p90': 0.05981996655464173, 'p95': 0.06320988759398459, 'p99': 0.06592182442545891, 'mean': 0.05285711293773992, 'min': 0.04789978265762329, 'max': 0.06659980863332748, 'count': 7}",2,,0,0,103,16,1
14125357,humanities,Low,Share ideas for adapting art masterpieces into interactive experiences for children. List 5 specific artworks and associated ideas. Write a concrete plan for your second example. Include budget estimates.,"Monet's ""Water Lilies"" interactive pond; budget $5,000 for tech.",29,9,True,False,1082.1589999832213,1619.3274999968708,366.0,1253.3274999968708,39.093878363058124,True,87.25550002418458,0,103,22,False,end_turn,A_prompt_only,"{'p50': 0.056999968364834785, 'p90': 0.2180000301450491, 'p95': 43.73675002716482, 'p99': 78.55175002478066, 'mean': 7.995909079909325, 'min': 0.040999846532940865, 'max': 87.25550002418458, 'count': 11}",1,,0,0,103,22,1
6404588,humanities,Low,Explain what's base rate fallacy and list five specific examples of how politicians use it for campaigns. Provide a detailed plan for an election campaign using the first example.,Base rate fallacy used by politicians; five examples; detailed plan for campaign.,29,12,True,False,1485.4575998615474,1488.0748998839408,345.0,1143.0748998839408,5731.096882917847,True,0.07060007192194462,0,102,16,False,end_turn,A_prompt_only,"{'p50': 0.051749986596405506, 'p90': 0.06122000049799681, 'p95': 0.06591003620997071, 'p99': 0.06966206477954984, 'mean': 0.05365000106394291, 'min': 0.0467000063508749, 'max': 0.07060007192194462, 'count': 8}",4,,0,0,102,16,1
