prompt_id,category,complexity,prompt,response,prompt_word_count,response_word_count,is_compliant,is_estimated_usage,ttft_ms,e2e_latency_ms,server_latency_ms,client_overhead_ms,otps,has_valid_metrics,max_inter_token_latency_ms,stall_count,input_tokens,output_tokens,hit_token_limit,stop_reason,strategy,latency_percentiles,word_count_delta,first_attempt_compliant,cache_creation_input_tokens,cache_read_input_tokens,total_cost_input_tokens,total_cost_output_tokens,num_attempts,has_token_mismatch
44067482,writing,Low,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions. Rewrite your previous response. Start every sentence with the letter A.","A travel blog about Hawaii highlights cultural experiences, attractions, and must-see sites",29,12,True,True,1028.6022999789566,1081.8877001293004,,,262.73613335921766,True,50.76260003261268,0,0,15,False,max_tokens,B_stream_monitor,"{'mean': 10.270899999886751, 'min': 0.12179999612271786, 'max': 50.76260003261268, 'count': 5, 'p50': 0.1526998821645975, 'p90': 30.52792004309595, 'p95': 40.64526003785431, 'p99': 48.73913203366101}",2,,0,0,0,15,1,True
46091167,stem,Low,"In the field of quantum physics, what is superposition, and how does it relate to the phenomenon of quantum entanglement? What assumptions have you made in your response? Are they valid?",Superposition allows particles to exist in multiple states; entanglement links them.,31,11,True,False,1812.3571001924574,1931.2725001946092,369.0,1562.2725001946092,117.73075648525486,True,54.05019992031157,0,105,15,False,end_turn,B_stream_monitor,"{'mean': 7.77161427374397, 'min': 0.05159992724657059, 'max': 54.05019992031157, 'count': 7, 'p50': 0.05829986184835434, 'p90': 21.66190007701518, 'p95': 37.85604999866332, 'p99': 50.8113699359819}",1,,0,0,105,15,1,True
57239570,stem,Low,What is the central dogma of molecular biology? What processes are involved? Who named this? Identify and fix one incorrect fact in your previous response.,Central dogma involves transcription and translation; Francis Crick named it.,25,10,True,False,1871.9618001487106,1876.2354000937194,351.0,1525.2354000937194,3041.9318998688746,True,0.0654000323265791,0,98,14,False,end_turn,B_stream_monitor,"{'mean': 0.05341427666800363, 'min': 0.04879990592598915, 'max': 0.0654000323265791, 'count': 7, 'p50': 0.05070003680884838, 'p90': 0.0600599218159914, 'p95': 0.06272997707128525, 'p99': 0.06486602127552032}",0,,0,0,98,14,1,True
65106343,stem,Low,"Please explain the differences between exothermic and endothermic reactions, and include the criteria you used to distinguish between them. Additionally, please provide a real-world example to illustrate your explanation. Can a process involve both reactions? List one.",Exothermic releases heat; endothermic absorbs heat; combustion is both.,37,9,True,False,1454.510500188917,1458.407900063321,351.0,1107.407900063321,3592.138464401386,True,0.06699981167912483,0,116,15,False,end_turn,B_stream_monitor,"{'mean': 0.0539285662983145, 'min': 0.04920014180243015, 'max': 0.06699981167912483, 'count': 7, 'p50': 0.05150004290044308, 'p90': 0.0610599759966135, 'p95': 0.06402989383786917, 'p99': 0.0664058281108737}",-1,,0,0,116,15,1,True
25568812,stem,Low,How have the Alps and Rhine River influenced settlement and agriculture in Western Europe? List three impacts. How could you design a concrete but simple experiment to validate the first impact?,"Alps, Rhine River shape settlements, agriculture; experiment: compare crop yields.",31,10,True,False,1738.939399830997,1853.6810998339206,339.0,1514.6810998339206,130.7284099818793,True,94.1185001283884,0,103,16,False,end_turn,B_stream_monitor,"{'mean': 11.278950003907084, 'min': 0.052999937906861305, 'max': 94.1185001283884, 'count': 10, 'p50': 0.0669499859213829, 'p90': 25.115860044024856, 'p95': 59.61718008620656, 'p99': 87.21823611995207}",0,,0,0,103,16,1,True
47292991,humanities,Low,"Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explain how fiscal and monetary policies affect those indicators. Now, explain them again like I'm five.","GDP, inflation, unemployment; policies change them; simple rules help.",31,9,True,False,1808.5346999578178,2387.5689001288265,401.0,1986.5689001288265,24.178191885497125,True,483.5741000715643,1,108,15,False,end_turn,B_stream_monitor,"{'mean': 71.73333750688471, 'min': 0.05419994704425335, 'max': 483.5741000715643, 'count': 8, 'p50': 0.1196499215438962, 'p90': 207.8435400500893, 'p95': 345.7088200608266, 'p99': 456.0010440694167}",-1,,0,0,108,15,1,True
68280443,humanities,Low,How do the stages of life shape our understanding of time and mortality? Write an allegorical poem that illustrates the above.,"Life's stages shape time, mortality's shadow, poetic allegory.",21,8,True,False,1442.5208000466228,1869.0199998673052,343.0,1526.0199998673052,35.17005426107859,True,421.42979986965656,1,92,16,False,end_turn,B_stream_monitor,"{'mean': 46.88243332525922, 'min': 0.05470006726682186, 'max': 421.42979986965656, 'count': 9, 'p50': 0.06620003841817379, 'p90': 84.35260001569993, 'p95': 252.89119994267807, 'p99': 387.7220798842609}",-2,,0,0,92,16,1,True
60780117,humanities,Low,Discuss antitrust laws and their impact on market competition. Compare the antitrust laws in US and China along with some case studies. Pick one case study and explain it in detail.,"""US vs. China antitrust laws impact market competition, case study example.""",31,11,True,False,1479.7006000299007,1926.5894000418484,312.0,1614.5894000418484,33.56539702852022,True,443.17769980989397,1,103,16,False,end_turn,B_stream_monitor,"{'mean': 73.93108331598341, 'min': 0.05270005203783512, 'max': 443.17769980989397, 'count': 6, 'p50': 0.06500002928078175, 'p90': 221.67429991532117, 'p95': 332.42599986260757, 'p99': 421.02735982043674}",1,,0,0,103,16,1,True
14125357,humanities,Low,Share ideas for adapting art masterpieces into interactive experiences for children. List 5 specific artworks and associated ideas. Write a concrete plan for your second example. Include budget estimates.,"Monet's ""Water Lilies"" interactive pond; budget $5,000 for tech.",29,9,True,False,1480.358000146225,1912.9623000044376,403.0,1509.9623000044376,48.54320682176026,True,427.77310009114444,1,103,22,False,end_turn,B_stream_monitor,"{'mean': 38.93671817654236, 'min': 0.04879990592598915, 'max': 427.77310009114444, 'count': 11, 'p50': 0.0504001509398222, 'p90': 0.06699981167912483, 'p95': 213.92004995141178, 'p99': 385.0024900631981}",-1,,0,0,103,22,1,True
6404588,humanities,Low,Explain what's base rate fallacy and list five specific examples of how politicians use it for campaigns. Provide a detailed plan for an election campaign using the first example.,Base rate fallacy ignores general data; politicians exploit it for misleading campaigns.,29,12,True,True,1748.4870001208037,1814.1819001175463,,,213.10634464310274,True,61.86399981379509,0,0,15,False,max_tokens,B_stream_monitor,"{'mean': 8.107700006803498, 'min': 0.05539995618164539, 'max': 61.86399981379509, 'count': 8, 'p50': 0.06610003765672445, 'p90': 19.625720079056908, 'p95': 40.744859946425976, 'p99': 57.64017184032126}",2,,0,0,0,15,1,True
97392077,humanities,Low,Which methods did Socrates employ to challenge the prevailing thoughts of his time? Let's bring Socrates to modern world. Generate a conversation between Socrates and Bill Gates to debate on generative AI for education.,Socrates debates Bill Gates on generative AI's role in modern education.,34,11,True,False,1918.9546001143754,1964.3205001484603,349.0,1615.3205001484603,308.6018350673376,True,39.725299924612045,0,108,15,False,end_turn,B_stream_monitor,"{'mean': 6.838399994497498, 'min': 0.0784001313149929, 'max': 39.725299924612045, 'count': 6, 'p50': 0.13880000915378332, 'p90': 20.29339992441237, 'p95': 30.009349924512208, 'p99': 37.782109924592085}",1,,0,0,108,15,1,True
36620167,humanities,Low,What are some business etiquette norms when doing business in Japan? Create a video script for training new employees of a car wash business in Japan. Highlight the above etiquette norms.,"Business etiquette in Japan: respect, formality, bowing, and gift-giving.",31,9,True,False,1785.2405000012368,1854.6613999642432,341.0,1513.6613999642432,230.47814143184866,True,52.28910013101995,0,103,17,False,end_turn,B_stream_monitor,"{'mean': 7.626100010903818, 'min': 0.05410006269812584, 'max': 52.28910013101995, 'count': 7, 'p50': 0.06700004450976849, 'p90': 21.38291997835042, 'p95': 36.83601005468514, 'p99': 49.19848211575297}",-1,,0,0,103,17,1,True
46111977,humanities,Low,"Suggest five award-winning documentary films with brief background descriptions for aspiring filmmakers to study. With the spirit in the first film, craft a succinct and persuasive pitch for a film about overcoming adversity.","""Five award-winners: study, pitch overcoming adversity documentary.""",33,7,False,False,1850.307100219652,1853.8209001999348,304.0,1549.8209001999348,3984.2905340540497,True,0.06919982843101025,0,107,15,False,end_turn,B_stream_monitor,"{'mean': 0.055866665206849575, 'min': 0.05050003528594971, 'max': 0.06919982843101025, 'count': 6, 'p50': 0.052749994210898876, 'p90': 0.06404996383935213, 'p95': 0.06662489613518119, 'p99': 0.06868484197184443}",-3,,0,0,107,15,1,True
49723273,writing,Medium,"Draft a professional email seeking your supervisor's feedback on the 'Quarterly Financial Report' you prepared. Ask specifically about the data analysis, presentation style, and the clarity of conclusions drawn. Keep the email short and to the point. Take a moment to evaluate and critique your own response.","""Seeking supervisor's feedback on 'Quarterly Financial Report' data, style, clarity.""",47,10,True,False,1458.5779998451471,1577.7914999052882,337.0,1240.7914999052882,167.76623444417248,True,72.3019998986274,0,127,21,False,end_turn,B_stream_monitor,"{'mean': 10.504100006073713, 'min': 0.05119992420077324, 'max': 72.3019998986274, 'count': 7, 'p50': 0.06450014188885689, 'p90': 29.4813799671829, 'p95': 50.89168993290509, 'p99': 68.01993790548292}",0,,0,0,127,21,1,True
72595869,writing,Medium,"Imagine you are writing a blog post comparing two popular smartphone models. Develop an outline for the blog post, including key points and subheadings to effectively compare and contrast the features, performance, and user experience of the two models. Please answer in fewer than 200 words. Take your previous response and rephrase it as a limerick.","Two phones compared, features, performance, user, subheadings, concise blog post.",56,10,True,False,1757.6062998268753,1877.5345999747515,321.0,1556.5345999747515,150.08967839788704,True,81.85419999063015,0,139,19,False,end_turn,B_stream_monitor,"{'mean': 10.733681815591725, 'min': 0.05230004899203777, 'max': 81.85419999063015, 'count': 11, 'p50': 0.06909994408488274, 'p90': 33.942800015211105, 'p95': 57.89850000292063, 'p99': 77.06305999308826}",0,,0,0,139,19,1,True
9147946,writing,Medium,"Write a persuasive email to convince your introverted friend, who dislikes public speaking, to volunteer as a guest speaker at a local event. Use compelling arguments and address potential objections. Please be concise. Can you rephrase your previous answer and incorporate a metaphor or simile in each sentence?","""Volunteering as speaker is like a small step, big growth.""",48,10,True,False,2005.7169999927282,2121.015400160104,365.0,1756.015400160104,121.42406121573717,True,78.84819991886616,0,124,15,False,end_turn,B_stream_monitor,"{'mean': 8.91631112123529, 'min': 0.05370005965232849, 'max': 78.84819991886616, 'count': 9, 'p50': 0.06580003537237644, 'p90': 16.548199951648726, 'p95': 47.698199935257406, 'p99': 72.61819992214441}",0,,0,0,124,15,1,True
3075696,writing,Medium,"Describe a vivid and unique character, using strong imagery and creative language. Please answer in fewer than two paragraphs. Revise your previous response and incorporate an allusion to a famous work of literature or historical event in each sentence.","Tall, raven-haired figure, eyes like stormy seas, reminiscent of Ahab's relentless pursuit.",39,12,True,True,1062.024800106883,1144.0920000895858,,,170.59190520635252,True,78.38100008666515,0,0,15,False,max_tokens,B_stream_monitor,"{'mean': 8.883055558221209, 'min': 0.0483999028801918, 'max': 78.38100008666515, 'count': 9, 'p50': 0.058900099247694016, 'p90': 16.59139990806581, 'p95': 47.486199997365446, 'p99': 72.20204006880522}",2,,0,0,0,15,1,True
38622539,writing,Medium,"Write a descriptive paragraph about a bustling marketplace, incorporating sensory details such as smells, sounds, and visual elements to create an immersive experience for the reader. Rework your previous response. Begin each sentence with the subsequent letter of the alphabet, commencing from B.","Brightly, colorful stalls; fragrant spices; chatter; enticing; fresh; goods; hustle; inviting; lively",43,12,True,True,1388.0664999596775,1392.3959999810904,,,3464.6032857864784,True,0.0638000201433897,0,0,16,False,max_tokens,B_stream_monitor,"{'mean': 0.0505199966331323, 'min': 0.04639988765120506, 'max': 0.0638000201433897, 'count': 15, 'p50': 0.04910002462565899, 'p90': 0.0555199570953846, 'p95': 0.059179984964430325, 'p99': 0.06287601310759783}",2,,0,0,0,16,1,False
54154842,writing,Medium,"Could you write a captivating short story beginning with the sentence: The old abandoned house at the end of the street held a secret that no one had ever discovered. Now, do the same task again but only use four-word sentences.",Old house. Secret hidden. No one found. Mystery unsolved.,41,9,True,False,1824.9649000354111,1829.8390000127256,356.0,1473.8390000127256,2667.1590776770913,True,0.06659980863332748,0,116,14,False,end_turn,B_stream_monitor,"{'mean': 0.051911092466778226, 'min': 0.0475000124424696, 'max': 0.06659980863332748, 'count': 9, 'p50': 0.04910002462565899, 'p90': 0.05852002650499344, 'p95': 0.06255991756916046, 'p99': 0.06579183042049408}",-1,,0,0,116,14,1,True
