prompt_id,category,complexity,prompt,response,prompt_word_count,response_word_count,is_compliant,is_estimated_usage,ttft_ms,e2e_latency_ms,server_latency_ms,client_overhead_ms,otps,has_valid_metrics,max_inter_token_latency_ms,stall_count,input_tokens,output_tokens,hit_token_limit,stop_reason,strategy,latency_percentiles,word_count_delta,first_attempt_compliant,cache_creation_input_tokens,cache_read_input_tokens,total_cost_input_tokens,total_cost_output_tokens,num_attempts
44067482,writing,Low,"Compose an engaging travel blog post about a recent trip to Hawaii, highlighting cultural experiences and must-see attractions. Rewrite your previous response. Start every sentence with the letter A.","Hawaii travel blog highlights cultural experiences, must-see attractions, and unique adventures.",29,11,True,False,2381.618799874559,2385.9339999035,311.0,2074.9339999035,3707.823482733535,True,0.06550014950335026,0,176,17,False,end_turn,C_fast_correction,"{'p50': 0.05550007335841656, 'p90': 0.06316013168543577, 'p95': 0.06433014059439301, 'p99': 0.06526614772155881, 'mean': 0.056750024668872356, 'min': 0.05049980245530605, 'max': 0.06550014950335026, 'count': 4}",3,False,0,0,282,37,2
46091167,stem,Low,"In the field of quantum physics, what is superposition, and how does it relate to the phenomenon of quantum entanglement? What assumptions have you made in your response? Are they valid?",Superposition allows particles to exist in multiple states; entanglement links them.,31,11,True,False,1431.010500062257,1435.4564999230206,331.0,1104.4564999230206,3148.897984354786,True,0.061499886214733124,0,105,15,False,end_turn,C_fast_correction,"{'p50': 0.049200025387108326, 'p90': 0.057299970649182796, 'p95': 0.05939992843195796, 'p99': 0.06107989465817809, 'mean': 0.051399964528779186, 'min': 0.04759989678859711, 'max': 0.061499886214733124, 'count': 6}",3,True,0,0,105,15,1
57239570,stem,Low,What is the central dogma of molecular biology? What processes are involved? Who named this? Identify and fix one incorrect fact in your previous response.,Central dogma involves transcription and translation; Francis Crick named it.,25,10,True,False,1757.4680000543594,1874.5989999733865,345.0,1529.5989999733865,110.98684386701153,True,63.92510002478957,0,98,14,False,end_turn,C_fast_correction,"{'p50': 0.18199998885393143, 'p90': 25.964719941839597, 'p95': 44.94490998331453, 'p99': 60.129062016494544, 'mean': 9.338328581569451, 'min': 0.0825000461190939, 'max': 63.92510002478957, 'count': 7}",2,True,0,0,98,14,1
65106343,stem,Low,"Please explain the differences between exothermic and endothermic reactions, and include the criteria you used to distinguish between them. Additionally, please provide a real-world example to illustrate your explanation. Can a process involve both reactions? List one.",Exothermic releases heat; endothermic absorbs heat; real example is combustion.,37,10,True,False,1741.4732000324875,1811.1292999237776,316.0,1495.1292999237776,215.34366729417803,True,58.458900079131126,0,116,16,False,end_turn,C_fast_correction,"{'p50': 0.16134988982230425, 'p90': 22.71823002956807, 'p95': 40.58856505434957, 'p99': 54.88483307417481, 'mean': 8.349212497705594, 'min': 0.13749999925494194, 'max': 58.458900079131126, 'count': 8}",2,True,0,0,116,16,1
25568812,stem,Low,How have the Alps and Rhine River influenced settlement and agriculture in Western Europe? List three impacts. How could you design a concrete but simple experiment to validate the first impact?,"Alps, Rhine River shape settlements, agriculture; experiment: compare crop yields.",31,10,True,False,1769.0111000556499,1773.6953999847174,386.0,1387.6953999847174,3202.186074149625,True,0.06420002318918705,0,103,16,False,end_turn,C_fast_correction,"{'p50': 0.04834996070712805, 'p90': 0.05780986975878477, 'p95': 0.061004946473985903, 'p99': 0.06356100784614682, 'mean': 0.05075999069958925, 'min': 0.046900007873773575, 'max': 0.06420002318918705, 'count': 10}",2,True,0,0,103,16,1
47292991,humanities,Low,"Provide insights into the correlation between economic indicators such as GDP, inflation, and unemployment rates. Explain how fiscal and monetary policies affect those indicators. Now, explain them again like I'm five.","GDP, inflation, unemployment; policies change them; simple rules for big effects.",31,11,True,False,1771.7648001853377,1941.2965001538396,380.0,1561.2965001538396,94.37762968797406,True,89.0663000755012,0,108,17,False,end_turn,C_fast_correction,"{'p50': 0.13749999925494194, 'p90': 17.947100009769215, 'p95': 53.506700042635174, 'p99': 81.954380068928, 'mean': 10.014477780916625, 'min': 0.062099890783429146, 'max': 89.0663000755012, 'count': 9}",3,True,0,0,108,17,1
68280443,humanities,Low,How do the stages of life shape our understanding of time and mortality? Write an allegorical poem that illustrates the above.,"Life's stages shape time, mortality's shadow, poetic allegory.",21,8,True,False,1693.8234998378903,1780.8370999991894,291.0,1489.8370999991894,172.3868449552042,True,84.64710018597543,0,92,16,False,end_turn,C_fast_correction,"{'p50': 0.04650000482797623, 'p90': 17.077900050207987, 'p95': 50.862500118091674, 'p99': 77.89018017239869, 'mean': 9.46218890344931, 'min': 0.04309997893869877, 'max': 84.64710018597543, 'count': 9}",0,True,0,0,92,16,1
60780117,humanities,Low,Discuss antitrust laws and their impact on market competition. Compare the antitrust laws in US and China along with some case studies. Pick one case study and explain it in detail.,"""US vs. China antitrust laws: Microsoft vs. China case study.""",31,10,True,False,1614.9981999769807,1675.6134999450296,310.0,1365.6134999450296,247.46227450671174,True,55.40279997512698,0,103,16,False,end_turn,C_fast_correction,"{'p50': 0.15760003589093685, 'p90': 22.272060066461584, 'p95': 38.83743002079423, 'p99': 52.08972598426041, 'mean': 8.05062857190413, 'min': 0.1396997831761837, 'max': 55.40279997512698, 'count': 7}",2,True,0,0,103,16,1
14125357,humanities,Low,Share ideas for adapting art masterpieces into interactive experiences for children. List 5 specific artworks and associated ideas. Write a concrete plan for your second example. Include budget estimates.,"Monet's ""Water Lilies"" interactive pond; budget $5,000 for tech.",29,9,True,False,1056.5202999860048,1501.2308000586927,397.0,1104.2308000586927,47.22173188302852,True,439.88680001348257,1,103,22,False,end_turn,C_fast_correction,"{'p50': 0.05030003376305103, 'p90': 0.06480002775788307, 'p95': 219.97580002062023, 'p99': 395.9046000149103, 'mean': 40.03818182867359, 'min': 0.046800123527646065, 'max': 439.88680001348257, 'count': 11}",1,True,0,0,103,22,1
6404588,humanities,Low,Explain what's base rate fallacy and list five specific examples of how politicians use it for campaigns. Provide a detailed plan for an election campaign using the first example.,Base rate fallacy used by politicians; five examples; campaign plan for first.,29,12,True,False,1362.4492997769266,1367.0600999612361,373.0,994.0600999612361,3253.231413290232,True,0.06330013275146484,0,102,16,False,end_turn,C_fast_correction,"{'p50': 0.05059991963207722, 'p90': 0.058080023154616356, 'p95': 0.06069007795304059, 'p99': 0.06277812179178, 'mean': 0.05227144408438887, 'min': 0.047900015488266945, 'max': 0.06330013275146484, 'count': 7}",4,True,0,0,102,16,1
